,name,score,process_url
149,Intel Core i7-7560U,5984,https://www.solotodo.cl/notebooks?processors=617927
150,AMD Ryzen 3 3300U,5871,https://www.solotodo.cl/notebooks?processors=1019833
151,Intel Core i5-6300HQ,5733,https://www.solotodo.cl/notebooks?processors=480420
152,Intel Core i7-2630QM,5697,https://www.solotodo.cl/notebooks?processors=124947
153,Intel Core i5-7440HQ,5553,https://www.solotodo.cl/notebooks?processors=652654
154,Intel Core i5-7267U,5550,https://www.solotodo.cl/notebooks?processors=651594
155,Intel Pentium Gold 7505,5513,https://www.solotodo.cl/notebooks?processors=1398792
156,Intel Core i5-1030NG7,5331,https://www.solotodo.cl/notebooks?processors=1144585
157,AMD Ryzen 3 2300U,5301,https://www.solotodo.cl/notebooks?processors=764092
158,Intel Core i3-1005G1,5256,https://www.solotodo.cl/notebooks?processors=1019347
159,Intel Core i5-6440HQ,5239,https://www.solotodo.cl/notebooks?processors=1115128
160,Intel Core i7-4600M,5142,https://www.solotodo.cl/notebooks?processors=125794
161,Intel Core i5-7300HQ,5107,https://www.solotodo.cl/notebooks?processors=579410
162,Intel Core i7-4610M,5107,https://www.solotodo.cl/notebooks?processors=125848
163,AMD FX 9830P,5001,https://www.solotodo.cl/notebooks?processors=645710
164,Intel Core i5-6267U,4918,https://www.solotodo.cl/notebooks?processors=558094
165,Intel Core i7-6560U,4816,https://www.solotodo.cl/notebooks?processors=498134
166,Intel Core i5-4300M,4786,https://www.solotodo.cl/notebooks?processors=124310
167,Intel Core i7-6650U,4761,https://www.solotodo.cl/notebooks?processors=524743
168,Intel Core i5-3340M,4708,https://www.solotodo.cl/notebooks?processors=123781
169,Intel Core i7-4650U,4680,https://www.solotodo.cl/notebooks?processors=969503
170,Intel Core i5-4288U,4673,https://www.solotodo.cl/notebooks?processors=124298
171,Intel Core i5-5287U,4667,https://www.solotodo.cl/notebooks?processors=124753
172,Intel Core i7-3520M,4663,https://www.solotodo.cl/notebooks?processors=125262
173,Intel Core i5-4210H,4620,https://www.solotodo.cl/notebooks?processors=124039
174,AMD Athlon 300U,4613,https://www.solotodo.cl/notebooks?processors=1079338
175,Intel Core i7-3540M,4585,https://www.solotodo.cl/notebooks?processors=125317
176,Intel Core i7-3687U,4531,https://www.solotodo.cl/notebooks?processors=125556
177,Intel Core i5-4210M,4522,https://www.solotodo.cl/notebooks?processors=124080
178,Intel Core i5-4308U,4500,https://www.solotodo.cl/notebooks?processors=124407
179,Intel Core i5-4278U,4497,https://www.solotodo.cl/notebooks?processors=124258
180,Intel Core i7-4600U,4484,https://www.solotodo.cl/notebooks?processors=125823
181,AMD A10-9620P,4480,https://www.solotodo.cl/notebooks?processors=648133
182,Intel Core i5-4200M,4448,https://www.solotodo.cl/notebooks?processors=123958
183,Intel Core i7-920XM,4404,https://www.solotodo.cl/notebooks?processors=126757
184,Intel Core i5-4258U,4381,https://www.solotodo.cl/notebooks?processors=124195
185,AMD FX 9800P,4372,https://www.solotodo.cl/notebooks?processors=553126
186,Intel Core i5-6360U,4342,https://www.solotodo.cl/notebooks?processors=558045
187,AMD Ryzen 3 3250U,4339,https://www.solotodo.cl/notebooks?processors=1195661
188,Intel Core i5-7360U,4334,https://www.solotodo.cl/notebooks?processors=645799
189,Intel Core i5-3380M,4332,https://www.solotodo.cl/notebooks?processors=123834
190,Intel Core i5-5257U,4331,https://www.solotodo.cl/notebooks?processors=124715
191,Intel Core i3-1000NG4,4326,https://www.solotodo.cl/notebooks?processors=1144547
192,AMD A12-9800B,4312,https://www.solotodo.cl/notebooks?processors=681933
193,Intel Core i5-6260U,4306,https://www.solotodo.cl/notebooks?processors=540766
194,Intel Core i7-6498DU,4291,https://www.solotodo.cl/notebooks?processors=522029
195,Intel Core i7-3667U,4212,https://www.solotodo.cl/notebooks?processors=125520
196,Intel Core i5-8200Y,4206,https://www.solotodo.cl/notebooks?processors=933336
197,AMD Athlon Gold 3150U,4197,https://www.solotodo.cl/notebooks?processors=1203861
198,AMD FX 8800P,4197,https://www.solotodo.cl/notebooks?processors=579660
199,Intel Core i5-4200H,4166,https://www.solotodo.cl/notebooks?processors=123919
200,Intel Core i3-7130U,4148,https://www.solotodo.cl/notebooks?processors=726405
201,Intel Core i5-6198DU,4145,https://www.solotodo.cl/notebooks?processors=554943
202,Intel Core i7-2640M,4118,https://www.solotodo.cl/notebooks?processors=125001
203,Intel Core i3-10110U,4110,https://www.solotodo.cl/notebooks?processors=1043199
204,AMD Ryzen 3 3200U,4099,https://www.solotodo.cl/notebooks?processors=959016
205,AMD A10-8730B,4075,https://www.solotodo.cl/notebooks?processors=666036
206,Intel Core i5-3360M,4070,https://www.solotodo.cl/notebooks?processors=123811
207,Intel Core i7-5600U,4063,https://www.solotodo.cl/notebooks?processors=126400
208,Intel Core i7-2620M,4038,https://www.solotodo.cl/notebooks?processors=124913
209,Intel Core i5-3230M,4013,https://www.solotodo.cl/notebooks?processors=123670
210,AMD A12-9720P,4002,https://www.solotodo.cl/notebooks?processors=649610
211,Intel Core i5-5300U,3990,https://www.solotodo.cl/notebooks?processors=124773
212,Intel Core i7-4510U,3981,https://www.solotodo.cl/notebooks?processors=125753
213,Intel Core i7-7Y75,3958,https://www.solotodo.cl/notebooks?processors=558382
214,Intel Core i7-4500U,3921,https://www.solotodo.cl/notebooks?processors=125736
215,Intel Core i7-3537U,3892,https://www.solotodo.cl/notebooks?processors=125284
216,Intel Core i5-3210M,3878,https://www.solotodo.cl/notebooks?processors=123655
217,AMD A12-9700P,3871,https://www.solotodo.cl/notebooks?processors=628708
218,Intel Core i7-3517U,3812,https://www.solotodo.cl/notebooks?processors=125229
219,AMD A10-9600P,3807,https://www.solotodo.cl/notebooks?processors=508664
220,Intel Core i5-4310U,3792,https://www.solotodo.cl/notebooks?processors=124463
221,Intel Core i5-3320M,3764,https://www.solotodo.cl/notebooks?processors=123726
222,Intel Core i5-7300U,3718,https://www.solotodo.cl/notebooks?processors=598025
223,Intel Core i3-8145U,3711,https://www.solotodo.cl/notebooks?processors=871359
224,Intel Pentium Gold G5400,3706,https://www.solotodo.cl/notebooks?processors=1124181
225,Intel Core i5-7Y57,3706,https://www.solotodo.cl/notebooks?processors=651635
226,AMD A10-7400P,3694,https://www.solotodo.cl/notebooks?processors=115140
227,Intel Core i5-5200U,3693,https://www.solotodo.cl/notebooks?processors=124604
228,Intel Core i5-4260U,3688,https://www.solotodo.cl/notebooks?processors=124229
229,Intel Core i7-7500U,3665,https://www.solotodo.cl/notebooks?processors=546895
230,Intel Core i5-2540M,3664,https://www.solotodo.cl/notebooks?processors=123597
231,Intel Core i3-8130U,3648,https://www.solotodo.cl/notebooks?processors=763449
232,Intel Core M7-6Y75,3640,https://www.solotodo.cl/notebooks?processors=502030
233,AMD A10-8700P,3629,https://www.solotodo.cl/notebooks?processors=115175
234,Intel Core i5-2435M,3618,https://www.solotodo.cl/notebooks?processors=123449
235,Intel Core i7-7600U,3609,https://www.solotodo.cl/notebooks?processors=598049
236,AMD Ryzen 3 2200U,3605,https://www.solotodo.cl/notebooks?processors=770725
237,Intel Core i5-4250U,3590,https://www.solotodo.cl/notebooks?processors=124174
238,Intel Core i5-4200U,3590,https://www.solotodo.cl/notebooks?processors=123985
239,Intel Core i7-6600U,3563,https://www.solotodo.cl/notebooks?processors=126578
240,Intel Core M3-Y730,3558,https://www.solotodo.cl/notebooks?processors=868475
241,Intel Core i7-6660U,3523,https://www.solotodo.cl/notebooks?processors=1311679
242,Intel Core i5-3427U,3520,https://www.solotodo.cl/notebooks?processors=123866
243,Intel Core i5-2450M,3520,https://www.solotodo.cl/notebooks?processors=123487
244,Intel Core i7-5557U,3498,https://www.solotodo.cl/notebooks?processors=1406889
