id,notebook,name,score,price,diff price,ram,screen,graphic card,hard drive,link,21/10/21,25/10/21,26/10/21,28/10/21,29/10/21,02/11/21,03/11/21
122310,MSI Pulse GL66 11UEK [11UEK-230CL],Intel Core i7-11800H,20633,1599990,0,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 144 Hz","Intel UHD Graphics Xe 750 32EUs (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 512GB,https://www.solotodo.cl/products/122310-msi-pulse-gl66-11uek-11uek-230cl,1599990,1599990,1599990,1599990,1599990,1599990,1599990
119876,MSI Katana GF76 11UD (i7-11800H / 16GB / 512GB SSD / RTX 3050 Ti 4GB / 144Hz / W10H),Intel Core i7-11800H,20633,1499990,0,16 GB DDR4 (3200 MHz),"LED 17.3"" (1920x1080) / 144 Hz","Intel UHD Graphics Xe 750 32EUs (Integrada)
NVIDIA GeForce RTX 3050 Ti (4 GB)",SSD 512GB,https://www.solotodo.cl/products/119876-msi-katana-gf76-11ud-i7-11800h-16gb-512gb-ssd-rtx-3050-ti-4gb-144hz-w10h,1499990,1499990,1499990,1499990,1499990,1499990,1499990
122442,HP Victus 16-D0501LA [470N9LA],Intel Core i7-11800H,20633,1514275,214285,8 GB DDR4 (3200 MHz),"LED 16.1"" (1920x1080) / 60 Hz","Intel UHD Graphics Xe 750 32EUs (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)","Intel Optane 32GB
SSD 512GB",https://www.solotodo.cl/products/122442-hp-victus-16-d0501la-470n9la,1599990,1599990,1599990,1599990,1599990,1299990,1299990
118238,MSI Pulse GL66 11UEK [11UEK],Intel Core i7-11800H,20633,1619990,,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 144 Hz","Intel UHD Graphics Xe 750 32EUs (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 512GB,https://www.solotodo.cl/products/118238-msi-pulse-gl66-11uek-11uek,1619990,1619990,1619990,1619990,,,
121513,MSI Creator M16 A11UD (i7-11800H / 16GB / 512GB SSD / RTX 3050 Ti 4GB / W10P),Intel Core i7-11800H,20633,1680230,,16 GB DDR4 (3200 MHz),"LED 16.0"" (2560x1600) / 60 Hz","Intel UHD Graphics Xe 750 32EUs (Integrada)
NVIDIA GeForce RTX 3050 Ti (4 GB)",SSD 512GB,https://www.solotodo.cl/products/121513-msi-creator-m16-a11ud-i7-11800h-16gb-512gb-ssd-rtx-3050-ti-4gb-w10p,1680230,,,,,,
122537,Acer Predator Helios 300 PH315-54-79EA-1 [NH.QC5AL.001.1],Intel Core i7-11800H,20633,1299990,0,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 144 Hz","Intel UHD Graphics Xe 750 32EUs (Integrada)
NVIDIA GeForce RTX 3050 Ti (4 GB)",SSD 512GB,https://www.solotodo.cl/products/122537-acer-predator-helios-300-ph315-54-79ea-1-nhqc5al0011,1299990,1299990,1299990,1299990,1299990,1299990,1299990
119697,Acer Aspire Nitro 5 (i7-11800H / 16GB / 512GB SSD / RTX 3050 Ti 4GB / W10H / 144Hz),Intel Core i7-11800H,20633,1289990,50000,16 GB DDR4 (2400 MHz),"LED 17.3"" (1920x1080) / 144 Hz","Intel UHD Graphics Xe 750 32EUs (Integrada)
NVIDIA GeForce RTX 3050 Ti (4 GB)",SSD 512GB,https://www.solotodo.cl/products/119697-acer-aspire-nitro-5-i7-11800h-16gb-512gb-ssd-rtx-3050-ti-4gb-w10h-144hz,1349990,1299990,1299990,1299990,1299990,1239990,1239990
121515,MSI Pulse GL66 11UDK (i7-11800H / 16GB / 512GB SSD / RTX 3050 Ti 4GB / W10H),Intel Core i7-11800H,20633,1489990,0,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 144 Hz","Intel UHD Graphics Xe 750 32EUs (Integrada)
NVIDIA GeForce RTX 3050 Ti (4 GB)",SSD 512GB,https://www.solotodo.cl/products/121515-msi-pulse-gl66-11udk-i7-11800h-16gb-512gb-ssd-rtx-3050-ti-4gb-w10h,1489990,1489990,1489990,1489990,1489990,1489990,1489990
84480,ASUS ROG Zephyrus G14 GA401IV-HA134T [90NR03F6-M03770],AMD Ryzen 9 4900HS,19756,1699990,,16 GB DDR4 (3200 MHz),"LED 14.0"" (2560x1440) / 60 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 2060 Max-Q (6 GB)",SSD 1TB,https://www.solotodo.cl/products/84480-asus-rog-zephyrus-g14-ga401iv-ha134t-90nr03f6-m03770,1699990,1699990,,,,,
121491,HP Pavilion Gaming 15-EC1024LA + Audífonos Gamer [162D5LA],AMD Ryzen 7 4800H,19411,1029990,0,8 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 60 Hz","AMD Radeon RX Vega 7 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB)",SSD 512GB,https://www.solotodo.cl/products/121491-hp-pavilion-gaming-15-ec1024la-audifonos-gamer-162d5la,1029990,1029990,1029990,1029990,1029990,1029990,1029990
115357,Dell Inspiron G5 15 5505 (Ryzen 7 4800H / 8GB / 256GB SSD / RX 5600M / 60Hz),AMD Ryzen 7 4800H,19411,1179990,0,8 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 60 Hz","AMD Radeon RX Vega 7 (Integrada)
AMD Radeon RX 5600M (6 GB)",SSD 256GB,https://www.solotodo.cl/products/115357-dell-inspiron-g5-15-5505-ryzen-7-4800h-8gb-256gb-ssd-rx-5600m-60hz,1179990,1179990,1179990,1179990,1179990,1179990,1179990
