id,name,price,today,diff price,diff percent,url,processor,screen,ram,hard drive,08/12/21,09/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21
87093,HP 27-D0000LA (7WT34AA),1149990,1149990,0,0,https://www.solotodo.cl/products/87093-hp-27-d0000la-7wt34aa,Intel Core i5 10700T (2000 - 4500 MHz) (Octa-Core),"27.0"" FullHD (1920x1080)",8 GB,HDD 2000 GB,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990
119634,ASUS Vivo V272UAK-BA167T,669990,669990,0,0,https://www.solotodo.cl/products/119634-asus-vivo-v272uak-ba167t,Intel Core i5 8250U (1600 - 3400 MHz) (Quad-core),"27.0"" FullHD (1920x1080)",8 GB,"HDD 1000 GB
SSD 256 GB",669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990
113336,"Apple iMac Retina 4.5K 24"" (MGPH3CI/A)",1454990,1454990,0,0,https://www.solotodo.cl/products/113336-apple-imac-retina-45k-24-mgph3cia,Apple M-Series M1 (3200 - 3200 MHz) (Octa-Core),"23.5"" 4.5K Retina Display (4480x2520)",8 GB,SSD 256 GB,1454990,1454990,1454990,1454990,1454990,1454990,1454990,1454990,1454990,1454990,1454990,1454990,1454990,1454990,1454990
105495,"Apple iMac 27"" 8GB RAM 1TB HDD (ME088LL/A)",699990,699990,0,0,https://www.solotodo.cl/products/105495-apple-imac-27-8gb-ram-1tb-hdd-me088lla,Intel Core i5 4570 (3200 - 3600 MHz) (Quad-core),"27.0"" QHD (2560x1440)",8 GB,HDD 1000 GB,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990
115869,"Apple iMac Retina 21.5"" (1TB) (MMQA2LL/A)",759990,759990,0,0,https://www.solotodo.cl/products/115869-apple-imac-retina-215-1tb-mmqa2lla,Intel Core i5 7360U (2300 - 3600 MHz) (Dual-core),"21.5"" FullHD (1920x1080)",8 GB,HDD 1000 GB,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990
117664,"Apple iMac 27"" 8GB RAM 1TB HDD (ME089LL/A)",699990,699990,0,0,https://www.solotodo.cl/products/117664-apple-imac-27-8gb-ram-1tb-hdd-me089lla,Intel Core i5 4670 (3400 - 3800 MHz) (Quad-core),"27.0"" QHD (2560x1440)",8 GB,HDD 1000 GB,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990
69297,Apple iMac 21.5'' Retina (MK442LL/A),599990,599990,0,0,https://www.solotodo.cl/products/69297-apple-imac-215-retina-mk442lla,Intel Core i5 5675R (3100 - 3600 MHz) (Quad-core),"21.5"" FullHD (1920x1080)",8 GB,HDD 1000 GB,,,,,,,,,,,,,599990,599990,599990
120437,Lenovo Ideacentre AIO 3 24IIL5 (F0FR008FCL),669990,669990,0,0,https://www.solotodo.cl/products/120437-lenovo-ideacentre-aio-3-24iil5-f0fr008fcl,Intel Core i5 1035G4 (1100 - 3700 MHz) (Quad-core),"23.8"" Táctil FullHD (1920x1080)",8 GB,"HDD 1000 GB
SSD 128 GB",669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990
122538,Dell OptiPlex 9030 (i5-4590S / 8GB / 500GB),629900,629900,0,0,https://www.solotodo.cl/products/122538-dell-optiplex-9030-i5-4590s-8gb-500gb,Intel Core i5 4590S (3000 - 3700 MHz) (Quad-core),"23.8"" Táctil FullHD (1920x1080)",8 GB,HDD 500 GB,629900,629900,629900,629900,629900,629900,629900,629900,629900,629900,629900,629900,629900,629900,629900
119418,"Apple iMac Retina 21.5"" (500GB) (MMQA2LL/A)",849990,849990,0,0,https://www.solotodo.cl/products/119418-apple-imac-retina-215-500gb-mmqa2lla,Intel Core i5 7360U (2300 - 3600 MHz) (Dual-core),"21.5"" FullHD (1920x1080)",8 GB,HDD 500 GB,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990
119633,ASUS Zen AiO M5401WUAT-BA022T,899990,899990,0,0,https://www.solotodo.cl/products/119633-asus-zen-aio-m5401wuat-ba022t,AMD Ryzen 7 5700U (1800 - 4300 MHz) (Octa-Core),"23.8"" Táctil FullHD (1920x1080)",8 GB,"HDD 1000 GB
SSD 256 GB",899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990
97207,ASUS Vivo V241EAK-BA073T (90PT02T2-M04550),824490,824490,0,0,https://www.solotodo.cl/products/97207-asus-vivo-v241eak-ba073t-90pt02t2-m04550,Intel Core i5 1135G7 (2400 - 4200 MHz) (Quad-core),"23.8"" FullHD (1920x1080)",8 GB,SSD 256 GB,,,,,,,,,,,,,824490,824490,824490
81899,Lenovo V530 (10UW00MJCS),859990,859990,0,0,https://www.solotodo.cl/products/81899-lenovo-v530-10uw00mjcs,Intel Core i5 9400T (1800 - 3400 MHz) (Six-Core),"23.8"" FullHD (1920x1080)",8 GB,HDD 1000 GB,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990
106839,Lenovo V50a-24IMB (11FJ00DHCS),921490,921490,0,0,https://www.solotodo.cl/products/106839-lenovo-v50a-24imb-11fj00dhcs,Intel Core i5 10400T (2000 - 3600 MHz) (Six-Core),"23.8"" FullHD (1920x1080)",8 GB,SSD 256 GB,921490,921490,921490,921490,921490,921490,921490,921490,921490,921490,921490,921490,921490,921490,921490
123184,HP 200 G4 (243G3LA),689991,689991,0,0,https://www.solotodo.cl/products/123184-hp-200-g4-243g3la,Intel Core i5 10210U (1600 - 2400 MHz) (Quad-core),"21.5"" FullHD (1920x1080)",8 GB,HDD 1000 GB,689991,689991,689991,689991,689991,689991,689991,689991,689991,689991,689991,689991,689991,689991,689991
113568,ASUS Zen AiO M5401WUAT-BA032T,929990,929990,0,0,https://www.solotodo.cl/products/113568-asus-zen-aio-m5401wuat-ba032t,AMD Ryzen 7 5700U (1800 - 4300 MHz) (Octa-Core),"23.8"" Táctil FullHD (1920x1080)",8 GB,"HDD 1000 GB
SSD 256 GB",929990,929990,929990,929990,929990,929990,929990,929990,929990,929990,929990,929990,929990,929990,929990
114772,"Apple iMac Retina 4.5K 24"" (MGPC3CI/A)",1385704,1399990,14286,-1,https://www.solotodo.cl/products/114772-apple-imac-retina-45k-24-mgpc3cia,Apple M-Series M1 (3200 - 3200 MHz) (Octa-Core),"23.5"" 4.5K Retina Display (4480x2520)",8 GB,SSD 256 GB,1299990,1299990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990
121982,Lenovo Ideacentre AIO 5 24IMB05 (F0FB008NCL),863290,872990,9700,-1,https://www.solotodo.cl/products/121982-lenovo-ideacentre-aio-5-24imb05-f0fb008ncl,Intel Core i5 10400T (2000 - 3600 MHz) (Six-Core),"23.8"" FullHD (1920x1080)",12 GB,SSD 512 GB,805090,805090,872990,872990,872990,872990,872990,872990,872990,872990,872990,872990,872990,872990,872990
105494,Lenovo Ideacentre AIO 3 24IIL5 (F0FR005DCL),809990,819990,10000,-1,https://www.solotodo.cl/products/105494-lenovo-ideacentre-aio-3-24iil5-f0fr005dcl,Intel Core i7 1065G7 (1300 - 3900 MHz) (Quad-core),"23.8"" FullHD (1920x1080)",8 GB,SSD 512 GB,819990,819990,829990,829990,779990,779990,779990,779990,819990,819990,819990,819990,819990,819990,819990
113335,"Apple iMac Retina 4.5K 24"" (MJV93CI/A)",1135704,1149990,14286,-1,https://www.solotodo.cl/products/113335-apple-imac-retina-45k-24-mjv93cia,Apple M-Series M1 (3200 - 3200 MHz) (Octa-Core),"23.5"" 4.5K Retina Display (4480x2520)",8 GB,SSD 256 GB,1129990,1129990,1129990,1129990,1129990,1129990,1129990,1129990,1129990,1129990,1149990,1149990,1149990,1149990,1149990
88575,"Apple iMac 21.5"" (MHK03CI/A)",966419,979990,13571,-1,https://www.solotodo.cl/products/88575-apple-imac-215-mhk03cia,Intel Core i5 7360U (2300 - 3600 MHz) (Dual-core),"21.5"" FullHD (1920x1080)",8 GB,SSD 256 GB,949990,949990,949990,949990,949990,949990,949990,999990,979990,979990,979990,979990,979990,979990,979990
