id,name,processor name,score,price,today,diff price,diff percent,ram,screen,graphic card,hard drive,url,21/10/21,25/10/21,26/10/21,28/10/21,29/10/21,02/11/21,03/11/21,05/11/21,06/11/21,07/11/21,08/11/21,10/11/21,11/11/21,12/11/21,15/11/21,16/11/21,17/11/21,19/11/21,20/11/21,22/11/21,23/11/21,24/11/21,25/11/21,26/11/21,28/11/21,29/11/21,30/11/21,01/12/21,02/12/21,03/12/21,05/12/21,06/12/21,07/12/21,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22
116142,Dell Inspiron 14 2-in-1 7415 (Ryzen 7 5700U / 16GB / 512GB SSD / W10H),AMD Ryzen 7 5700U,16258,967263,,,,16 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080) / 60 Hz",AMD Radeon RX Vega 8 (Integrada),SSD 512GB,https://www.solotodo.cl/products/116142-dell-inspiron-14-2-in-1-7415-ryzen-7-5700u-16gb-512gb-ssd-w10h,899990,899990,899990,899990,899990,899990,899990,,,,,899990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099990,1099990,1099990,1099990,,,,,,1099990,1099990,1099990,1099990,879990,879990,879990,879990,879990,879990,,,,
126125,Lenovo IdeaPad 3 15ALC6 [82KU005SCL],AMD Ryzen 7 5700U,16258,726240,699990,-26250,4,8 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 60 Hz",AMD Radeon RX Vega 8 (Integrada),SSD 512GB,https://www.solotodo.cl/products/126125-lenovo-ideapad-3-15alc6-82ku005scl,,,,,,,,,,,,,,,,,,,,,,,,,849990,849990,849990,849990,849990,849990,849990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990
122536,Acer Aspire 7 A715-42G-R366-1 [NH.QAYAL.001.1],AMD Ryzen 7 5700U,16258,833115,819990,-13125,2,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 60 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB)",SSD 256GB,https://www.solotodo.cl/products/122536-acer-aspire-7-a715-42g-r366-1-nhqayal0011,879990,879990,879990,879990,879990,879990,879990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990
124055,Lenovo IdeaPad Flex 5 14ALC05 [82HU005LCL],AMD Ryzen 7 5700U,16258,778626,,,,16 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080) táctil / 60 Hz",AMD Radeon RX Vega 8 (Integrada),SSD 512GB,https://www.solotodo.cl/products/124055-lenovo-ideapad-flex-5-14alc05-82hu005lcl,,,,,,869990,729990,729990,729990,729990,729990,729990,749990,749990,749990,749990,749990,869990,869990,869990,749990,749990,799990,809990,799990,809990,799990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125095,MSI Modern 15 A5M (Ryzen 7 5700U / 8GB / 512GB SSD),AMD Ryzen 7 5700U,16258,928587,969990,41403,-4,8 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080) / 60 Hz",AMD Radeon RX Vega 8 (Integrada),SSD 512GB,https://www.solotodo.cl/products/125095-msi-modern-15-a5m-ryzen-7-5700u-8gb-512gb-ssd,,,,,,,,,,,,,,969990,969990,,969990,969990,969990,969990,,818360,775590,775590,775590,775590,969990,908940,969990,969990,908940,908940,913250,913250,911090,901990,903990,903990,903990,912990,912990,912990,911990,912990,912990,912990,969990,927990,933990,969990,969990,969990,969990,969990,969990,969990,969990,969990,969990,969990,969990,969990,969990,969990,969990
128600,ASUS Zenbook 13 UM325UA-KG109T,AMD Ryzen 7 5700U,16258,772490,729990,-42500,6,8 GB LPDDR4X (3733 MHz),"LED 13.3"" (1920x1080) / 60 Hz",AMD Radeon RX Vega 8 (Integrada),SSD 512GB,https://www.solotodo.cl/products/128600-asus-zenbook-13-um325ua-kg109t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069990,729990,729990,729990,729990,729990,729990,729990,729990
125735,MSI Modern 15 A5M (Ryzen 7 5700U / 8GB / 512GB SSD / Urban Silver),AMD Ryzen 7 5700U,16258,819241,,,,8 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 60 Hz",AMD Radeon RX Vega 8 (Integrada),SSD 512GB,https://www.solotodo.cl/products/125735-msi-modern-15-a5m-ryzen-7-5700u-8gb-512gb-ssd-urban-silver,,,,,,,,,,,,,,,,,,,,,797490,794104,791890,791890,791890,791890,791890,804867,811518,811518,809754,809754,811518,811518,811518,811518,827052,809754,809754,811518,834115,834115,834115,897192,897192,919904,,809754,809754,,,,,,,,,,,,,,,,
128709,HP ProBook 445 G8 [445G3LS],AMD Ryzen 5 5600U,16053,761780,754737,-7042,1,8 GB DDR4 (3200 MHz),"LED 14.0"" (1366x768) / 60 Hz",AMD Radeon RX Vega 7 (Integrada),SSD 512GB,https://www.solotodo.cl/products/128709-hp-probook-445-g8-445g3ls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777236,777236,777236,746323,746323,746323,754737
124836,HP ProBook 445 G8 [3D3B9LT],AMD Ryzen 5 5600U,16053,687966,,,,8 GB DDR4 (3200 MHz),"LED 14.0"" (1366x768) / 60 Hz",AMD Radeon RX Vega 7 (Integrada),SSD 256GB,https://www.solotodo.cl/products/124836-hp-probook-445-g8-3d3b9lt,,,,,,,,,,,,569990,569990,569990,569990,569990,569990,639990,639990,639990,639990,639990,639990,579990,579990,626990,579990,749990,749990,749990,749990,749990,749990,749990,749990,579990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,,,749990,749990,,,,,,,,,,,
125998,HP ProBook 635 Aero G8 [421H1LT],AMD Ryzen 5 5600U,16053,1184740,1147920,-36820,3,8 GB DDR4 (3200 MHz),"LED 13.3"" (1920x1080) / 60 Hz",AMD Radeon RX Vega 7 (Integrada),SSD 512GB,https://www.solotodo.cl/products/125998-hp-probook-635-aero-g8-421h1lt,,,,,,,,,,,,,,,,,,,,,,,,1177365,1176794,1172247,1191655,1177365,1177365,1177365,1174806,1174806,1177365,1177365,1209381,1209381,1209381,1209381,1209381,1209381,1209381,1209381,1209381,1209381,1209381,1209381,1209381,1147105,1147105,1147105,1191790,1191790,1197240,1188990,1181990,1181940,1181940,1174528,1174478,1177790,1170274,1147967,1147920,1147920,1147920
127534,HP ProBook x360 435 G8 [4M0A2LT],AMD Ryzen 5 5600U,16053,1208596,1200236,-8360,1,8 GB DDR4 (3200 MHz),"LED 13.3"" (1920x1080) táctil / 60 Hz",AMD Radeon RX Vega 7 (Integrada),SSD 256GB,https://www.solotodo.cl/products/127534-hp-probook-x360-435-g8-4m0a2lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235500,1220000,1220000,1200750,1200750,1200750,1200750,1200750,1200750,1220000,1220000,1220000,1220000,1219950,1219950,1219950,1210000,1210000,1210000,1209950,1179303,1179303,1179303,1200236
119125,HP Pavilion Aero 13-BE0501LA [472Q9LA],AMD Ryzen 5 5600U,16053,620615,569990,-50625,8,8 GB DDR4 (3200 MHz),"LED 13.3"" (1920x1200) / 60 Hz",AMD Radeon RX Vega 7 (Integrada),SSD 512GB,https://www.solotodo.cl/products/119125-hp-pavilion-aero-13-be0501la-472q9la,679990,679990,679990,679990,679990,649990,649990,639990,629990,639990,639990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,609990,629990,629990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,569990,569990,569990,569990
114134,ASUS Zenbook 13 UM325SA (Ryzen 5 5600U / 8GB / 512GB SSD / OLED / W10H / Pine Grey),AMD Ryzen 5 5600U,16053,713929,,,,8 GB LPDDR4X (3733 MHz),"LED 13.3"" (1920x1080) / 60 Hz",AMD Radeon RX Vega 7 (Integrada),SSD 512GB,https://www.solotodo.cl/products/114134-asus-zenbook-13-um325sa-ryzen-5-5600u-8gb-512gb-ssd-oled-w10h-pine-grey,,,719990,719990,719990,719990,719990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,719990,719990,719990,719990,719990,719990,719990,719990,719990,719990,719990,,,719990,719990,719990,719990,719990,719990,719990,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119300,MSI GE76 Raider 10UH (i7-10875H / 32GB / 1TB SSD / RTX 3080 16GB / W10H / 300Hz) [10UH-274],Intel Core i7-10875H,15908,2290000,,,,32 GB DDR4 (3200 MHz),"LED 17.3"" (1920x1080) / 300 Hz","Intel UHD Graphics 630 (Integrada)
NVIDIA GeForce RTX 3080 (16 GB)",SSD 1TB,https://www.solotodo.cl/products/119300-msi-ge76-raider-10uh-i7-10875h-32gb-1tb-ssd-rtx-3080-16gb-w10h-300hz-10uh-274,,,,,,,,2290000,2290000,2290000,2290000,2290000,2290000,2290000,2290000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108731,ASUS ROG Strix SCAR 17 G732LWS-HG058T [90NR03D2-M02890],Intel Core i7-10875H,15908,2099990,2099990,0,0,8 GB DDR4 (3200 MHz),"LED 17.3"" (1920x1080) / 300 Hz","Intel UHD Graphics 630 (Integrada)
NVIDIA GeForce RTX 2070 Super (8 GB)",SSD 1TB,https://www.solotodo.cl/products/108731-asus-rog-strix-scar-17-g732lws-hg058t-90nr03d2-m02890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2099990,2099990,2099990,2099990
113427,Lenovo Legion S7 15IMH5 [82BC0000US],Intel Core i7-10875H,15908,1225990,1149990,-76000,6,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 144 Hz","Intel UHD Graphics 630 (Integrada)
NVIDIA GeForce RTX 2060 Max-Q (6 GB)",SSD 1TB,https://www.solotodo.cl/products/113427-lenovo-legion-s7-15imh5-82bc0000us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1149990,1149990,1149990,1149990,1149990,1149990,1149990
