id,name,price,today,diff price,diff percent,url,type,hz,size driver,microphone,connection,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21
70878,Skullcandy Push True Wireless Earbuds - Dark Gray,74990,74990,0,0,https://www.solotodo.cl/products/70878-skullcandy-push-true-wireless-earbuds-dark-gray,True Wireless,20 - 20000 Hz.,9.2 mm.,Montado (invisible),Bluetooth,74990,74990,74990,74990,74990
92247,Beats Solo Pro - Celeste (MRJ92LL/A),558990,558990,0,0,https://www.solotodo.cl/products/92247-beats-solo-pro-celeste-mrj92lla,Over-Ear / Headset,,,Montado (invisible),Bluetooth,558990,,558990,558990,558990
115356,Sony WH-1000XM4 Wireless Noise-Canceling Headphone - Blanco (WH-1000XM4/WMUC),299989,299989,0,0,https://www.solotodo.cl/products/115356-sony-wh-1000xm4-wireless-noise-canceling-headphone-blanco-wh-1000xm4wmuc,Over-Ear / Headset,4 - 40000 Hz.,,Montado (invisible),"3.5 mm.
Bluetooth",299989,299989,299989,299989,299989
115874,Sony WF-1000XM4 - Negro,209990,209990,0,0,https://www.solotodo.cl/products/115874-sony-wf-1000xm4-negro,True Wireless,20 - 20000 Hz.,6 mm.,Montado (invisible),Bluetooth,209990,209990,209990,209990,209990
119786,Bose QuietComfort 35 II Gaming Headset,349990,349990,0,0,https://www.solotodo.cl/products/119786-bose-quietcomfort-35-ii-gaming-headset,Over-Ear / Headset,,,Externo (estilo headset),"Bluetooth
USB 2.0",349990,349990,349990,349990,349990
100405,Beats Solo Pro - Rojo,377990,377990,0,0,https://www.solotodo.cl/products/100405-beats-solo-pro-rojo,Over-Ear / Headset,,,Montado (invisible),Bluetooth,377990,377990,377990,377990,377990
118145,Samsung Galaxy Buds2 - Graphite (SM-R177NZKALTA),103990,104990,1000,-1,https://www.solotodo.cl/products/118145-samsung-galaxy-buds2-graphite-sm-r177nzkalta,True Wireless,,,Montado (invisible),Bluetooth,109990,109990,89990,104990,104990
80223,JBL T750BTNC - Black (JBLT750BTNCBLKAM),73990,74990,1000,-1,https://www.solotodo.cl/products/80223-jbl-t750btnc-black-jblt750btncblkam,Over-Ear / Headset,20 - 20000 Hz.,40 mm.,Sin micrófono,"3.5 mm.
Bluetooth",69990,74990,74990,74990,74990
70951,Bose Noise Cancelling Headphones 700 - Negro,393990,399990,6000,-2,https://www.solotodo.cl/products/70951-bose-noise-cancelling-headphones-700-negro,Over-Ear / Headset,,,Montado (invisible),Bluetooth,389990,389990,389990,399990,399990
98439,Samsung Galaxy Buds Pro - Black (SM-R190NZKALTA),121990,124990,3000,-2,https://www.solotodo.cl/products/98439-samsung-galaxy-buds-pro-black-sm-r190nzkalta,True Wireless,,,Montado (invisible),Bluetooth,129990,129990,124990,99990,124990
70880,Skullcandy Push True Wireless Earbuds - Psychotropical Teal,71990,74990,3000,-4,https://www.solotodo.cl/products/70880-skullcandy-push-true-wireless-earbuds-psychotropical-teal,True Wireless,20 - 20000 Hz.,9.2 mm.,Montado (invisible),Bluetooth,59990,74990,74990,74990,74990
118011,Samsung Galaxy Buds2 - Lavender (SM-R177NLVALTA),105990,114990,9000,-8,https://www.solotodo.cl/products/118011-samsung-galaxy-buds2-lavender-sm-r177nlvalta,True Wireless,,,Montado (invisible),Bluetooth,89990,119990,89990,114990,114990
52082,Bose QuietComfort 35 (Black),255990,309990,54000,-21,https://www.solotodo.cl/products/52082-bose-quietcomfort-35-black,Over-Ear / Headset,,,Montado (invisible),Bluetooth,219990,219990,219990,309990,309990
48073,Sony WI-SP600N Sports Wireless Noise Canceling In-ear Headphones - White,99990,,,,https://www.solotodo.cl/products/48073-sony-wi-sp600n-sports-wireless-noise-canceling-in-ear-headphones-white,Deportivo,20 - 20000 Hz.,6 mm.,Montado (invisible),Bluetooth,99990,99990,99990,,
48348,Sony WI-SP600N Sports Wireless Noise Canceling In-ear Headphones - Black,99990,,,,https://www.solotodo.cl/products/48348-sony-wi-sp600n-sports-wireless-noise-canceling-in-ear-headphones-black,Deportivo,20 - 20000 Hz.,6 mm.,Montado (invisible),Bluetooth,99990,99990,99990,,
124697,Skullcandy Method ANC Earbuds - Black (S2NQW-M448),42990,,,,https://www.solotodo.cl/products/124697-skullcandy-method-anc-earbuds-black-s2nqw-m448,Earbuds,20 - 20000 Hz.,9 mm.,In-line (en el cable),Bluetooth,42990,42990,,,
53884,Sennheiser Momentum 2.0 Wireless - Black (506250),306990,,,,https://www.solotodo.cl/products/53884-sennheiser-momentum-20-wireless-black-506250,Over-Ear / Headset,16 - 22000 Hz.,,Montado (invisible),Bluetooth,306990,306990,,,
95239,Beats Solo Pro - Blanco,535990,,,,https://www.solotodo.cl/products/95239-beats-solo-pro-blanco,Over-Ear / Headset,,,Montado (invisible),Bluetooth,,,535990,,
